person_id,season,contract_type,total_value,guaranteed_value,current_salary,cap_hit,years_remaining,as_of_date,source,source_url,salary,guaranteed,player_option,team_option,early_termination_option
1628973,2026-27,NBA contract,,,37739521,37739521,3,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/new-york-knicks/18/,37739521,,0,0,0
1628973,2027-28,NBA contract,,,37739521,37739521,3,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/new-york-knicks/18/,40535041,,0,0,0
1628973,2028-29,NBA contract,,,37739521,37739521,3,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/new-york-knicks/18/,43330561,,1,0,0
1628969,2026-27,NBA contract,,,33482145,33482145,4,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/new-york-knicks/18/,33482145,,0,0,0
1628969,2027-28,NBA contract,,,33482145,33482145,4,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/new-york-knicks/18/,36160714,,0,0,0
1628969,2028-29,NBA contract,,,33482145,33482145,4,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/new-york-knicks/18/,38839285,,0,0,0
1628969,2029-30,NBA contract,,,33482145,33482145,4,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/new-york-knicks/18/,41517856,,1,0,0
1628404,2026-27,NBA contract,,,20923760,20923760,2,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/new-york-knicks/18/,20923760,,0,0,0
1628404,2027-28,NBA contract,,,20923760,20923760,2,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/new-york-knicks/18/,22375280,,0,1,0
1629013,2026-27,NBA contract,,,5490967,5490967,4,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/new-york-knicks/18/,5490967,,0,0,0
1629013,2027-28,NBA contract,,,5490967,5490967,4,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/new-york-knicks/18/,5737500,,0,0,0
1629013,2028-29,NBA contract,,,5490967,5490967,4,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/new-york-knicks/18/,6162500,,0,0,0
1629013,2029-30,NBA contract,,,5490967,5490967,4,2026-08-02,HoopsHype public team salary table,https://www.hoopshype.com/salaries/teams/new-york-knicks/18/,6587500,,1,0,0
